,source,text,retweet_count,favorite_count,is_retweet,id_str,date,time,hour,week,time_start,time_end,duration,listed_title,top_category,listed_location
52,TWITTER FOR IPHONE,....HUNDREDS OF PEOPLE CLOSELY INVOLVED WITH MY CAMPAIGN WHO NEVER MET SAW OR SPOKE TO A RUSSIAN DURING THIS PERIOD? SO MANY CAMPAIGN WORKERS PEOPLE INSIDE FROM THE BEGINNING ASK ME WHY THEY HAVE NOT BEEN CALLED (THEY WANT TO BE). THERE WAS NO COLLUSION &AMP; MUELLER KNOWS IT!,22863.0,93887.0,FALSE,1.06707E+18,2018-11-26,14:44:00,14,4.0,14:35:00,14:45:00,0.1666666667,DEPART THE WHITE HOUSE EN ROUTE JOINT BASE ANDREWS,TRAVEL,TRAVEL
53,TWITTER FOR IPHONE,POLLS ARE OPEN IN MISSISSIPPI. WE NEED CINDY HYDE-SMITH IN WASHINGTON. GO OUT AND VOTE. THANKS!,17248.0,69573.0,FALSE,1.06741E+18,2018-11-27,13:32:00,13,4.0,12:45:00,13:45:00,1.0,LUNCH WITH SECRETRAY OF STATE AND SECRETARY OF DEFENSE,MEETING,PRIVATE DINING ROOM
54,TWITTER FOR IPHONE,....FOR ELECTRIC CARS. GENERAL MOTORS MADE A BIG CHINA BET YEARS AGO WHEN THEY BUILT PLANTS THERE (AND IN MEXICO) - DON’T THINK THAT BET IS GOING TO PAY OFF. I AM HERE TO PROTECT AMERICA’S WORKERS!,24945.0,109307.0,FALSE,1.06749E+18,2018-11-27,19:05:00,19,4.0,17:30:00,19:30:00,2.0,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
55,TWITTER FOR IPHONE,....TERRIBLE GANG OF ANGRY DEMOCRATS. LOOK AT THEIR PAST AND LOOK WHERE THEY COME FROM. THE NOW $30000000 WITCH HUNT CONTINUES AND THEY’VE GOT NOTHING BUT RUINED LIVES. WHERE IS THE SERVER? LET THESE TERRIBLE PEOPLE GO BACK TO THE CLINTON FOUNDATION AND “JUSTICE” DEPARTMENT!,28872.0,105226.0,FALSE,1.0674E+18,2018-11-27,13:07:00,13,4.0,12:45:00,13:45:00,1.0,LUNCH WITH SECRETRAY OF STATE AND SECRETARY OF DEFENSE,MEETING,PRIVATE DINING ROOM
56,TWITTER FOR IPHONE,VERY DISAPPOINTED WITH GENERAL MOTORS AND THEIR CEO MARY BARRA FOR CLOSING PLANTS IN OHIO MICHIGAN AND MARYLAND. NOTHING BEING CLOSED IN MEXICO &AMP; CHINA. THE U.S. SAVED GENERAL MOTORS AND THIS IS THE THANKS WE GET! WE ARE NOW LOOKING AT CUTTING ALL @GM SUBSIDIES INCLUDING....,31187.0,124746.0,FALSE,1.06749E+18,2018-11-27,19:05:00,19,4.0,17:30:00,19:30:00,2.0,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
57,TWITTER FOR IPHONE,THE PHONY WITCH HUNT CONTINUES BUT MUELLER AND HIS GANG OF ANGRY DEMS ARE ONLY LOOKING AT ONE SIDE NOT THE OTHER. WAIT UNTIL IT COMES OUT HOW HORRIBLY &AMP; VICIOUSLY THEY ARE TREATING PEOPLE RUINING LIVES FOR THEM REFUSING TO LIE. MUELLER IS A CONFLICTED PROSECUTOR GONE ROGUE....,25750.0,93537.0,FALSE,1.0674E+18,2018-11-27,12:30:00,12,4.0,11:30:00,12:45:00,1.25,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
58,TWITTER FOR IPHONE,....THE FAKE NEWS MEDIA BUILDS BOB MUELLER UP AS A SAINT WHEN IN ACTUALITY HE IS THE EXACT OPPOSITE. HE IS DOING TREMENDOUS DAMAGE TO OUR CRIMINAL JUSTICE SYSTEM WHERE HE IS ONLY LOOKING AT ONE SIDE AND NOT THE OTHER. HEROES WILL COME OF THIS AND IT WON’T BE MUELLER AND HIS...,24939.0,94209.0,FALSE,1.0674E+18,2018-11-27,12:42:00,12,4.0,11:30:00,12:45:00,1.25,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
59,TWITTER FOR IPHONE,RT @DBONGINO: WHAT THE HELL IS THIS? 👇🏻 HTTPS://T.CO/3HAUA6XMRE,17391.0,0.0,TRUE,1.06779E+18,2018-11-28,14:31:00,14,4.0,14:30:00,14:45:00,0.25,POLICY TIME,MEETING,OVAL OFFICE
60,TWITTER FOR IPHONE,STEEL DYNAMICS ANNOUNCED THAT IT WILL BUILD A BRAND NEW 3 MILLION TON STEEL MILL IN THE SOUTHWEST THAT WILL CREATE 600 GOOD-PAYING U.S. JOBS. STEEL JOBS ARE COMING BACK TO AMERICA JUST LIKE I PREDICTED. CONGRATULATIONS TO STEEL DYNAMICS!,27325.0,114488.0,FALSE,1.06781E+18,2018-11-28,16:09:00,16,4.0,15:15:00,16:35:00,1.333333333,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
61,TWITTER FOR IPHONE,.....AND G.M. WOULD NOT BE CLOSING THEIR PLANTS IN OHIO MICHIGAN &AMP; MARYLAND. GET SMART CONGRESS. ALSO THE COUNTRIES THAT SEND US CARS HAVE TAKEN ADVANTAGE OF THE U.S. FOR DECADES. THE PRESIDENT HAS GREAT POWER ON THIS ISSUE - BECAUSE OF THE G.M. EVENT IT IS BEING STUDIED NOW!,17602.0,73674.0,FALSE,1.06779E+18,2018-11-28,14:49:00,14,4.0,14:45:00,15:15:00,0.5,POLICY TIME,MEETING,OVAL OFFICE
62,TWITTER FOR IPHONE,THE REASON THAT THE SMALL TRUCK BUSINESS IN THE U.S. IS SUCH A GO TO FAVORITE IS THAT FOR MANY YEARS TARIFFS OF 25% HAVE BEEN PUT ON SMALL TRUCKS COMING INTO OUR COUNTRY. IT IS CALLED THE “CHICKEN TAX.” IF WE DID THAT WITH CARS COMING IN MANY MORE CARS WOULD BE BUILT HERE.....,17319.0,71225.0,FALSE,1.06779E+18,2018-11-28,14:43:00,14,4.0,14:30:00,14:45:00,0.25,POLICY TIME,MEETING,OVAL OFFICE
63,TWITTER FOR IPHONE,RT @CHARLIEKIRK11: WOW - IF A CONSERVATIVE SAID THIS THEY WOULD BE BOYCOTTED AND NOT ALLOWED BACK IN THE PUBLIC ARENA — HILLARY SAID “ALL B…,25624.0,0.0,TRUE,1.06779E+18,2018-11-28,14:32:00,14,4.0,14:30:00,14:45:00,0.25,POLICY TIME,MEETING,OVAL OFFICE
64,TWITTER FOR IPHONE,RT @MIKEPENCEVP: I'M THANKFUL FOR EVERY DAY HILLARY CLINTON IS NOT PRESIDENT!,21050.0,0.0,TRUE,1.06779E+18,2018-11-28,14:29:00,14,4.0,14:00:00,14:30:00,0.5,MEETING WITH PRESIDENTIAL PERSONNEL,MEETING,OVAL OFFICE
65,TWITTER FOR IPHONE,RT @THE_TRUMP_TRAIN: ILLEGALS CAN GET UP TO $3874 A MONTH UNDER FEDERAL ASSISTANCE PROGRAM. OUR SOCIAL SECURITY CHECKS ARE ON AVERAGE $120…,43379.0,0.0,TRUE,1.06778E+18,2018-11-28,13:41:00,13,4.0,12:45:00,13:45:00,1.0,LUNCH WITH THE GOVERNOR OF NEW YORK STATE,LUNCH,PRIVATE DINING ROOM
66,TWITTER FOR IPHONE,RT @THE_TRUMP_TRAIN: IF GM DOESN'T WANT TO KEEP THEIR JOBS IN THE UNITED STATES THEY SHOULD PAY BACK THE $11.2 BILLION BAILOUT THAT WAS FU…,20711.0,0.0,TRUE,1.06778E+18,2018-11-28,13:40:00,13,4.0,12:45:00,13:45:00,1.0,LUNCH WITH THE GOVERNOR OF NEW YORK STATE,LUNCH,PRIVATE DINING ROOM
67,TWITTER FOR IPHONE,RT @THE_TRUMP_TRAIN: HTTPS://T.CO/FWJRNZBUB3,25619.0,0.0,TRUE,1.06778E+18,2018-11-28,13:40:00,13,4.0,12:45:00,13:45:00,1.0,LUNCH WITH THE GOVERNOR OF NEW YORK STATE,LUNCH,PRIVATE DINING ROOM
68,TWITTER FOR IPHONE,WHILE THE DISGUSTING FAKE NEWS IS DOING EVERYTHING WITHIN THEIR POWER NOT TO REPORT IT THAT WAY AT LEAST 3 MAJOR PLAYERS ARE INTIMATING THAT THE ANGRY MUELLER GANG OF DEMS IS VICIOUSLY TELLING WITNESSES TO LIE ABOUT FACTS &AMP; THEY WILL GET RELIEF. THIS IS OUR JOSEPH MCCARTHY ERA!,27912.0,95339.0,FALSE,1.06778E+18,2018-11-28,13:39:00,13,4.0,12:45:00,13:45:00,1.0,LUNCH WITH THE GOVERNOR OF NEW YORK STATE,LUNCH,PRIVATE DINING ROOM
69,TWITTER FOR IPHONE,RT @THE_TRUMP_TRAIN: WILL CNN EVER ASK BORDER PATROL AGENTS HOW THEY FELT HAVING LARGE ROCKS CHUCKED AT THEM BY CRIMINAL ILLEGALS?,18773.0,0.0,TRUE,1.06778E+18,2018-11-28,13:41:00,13,4.0,12:45:00,13:45:00,1.0,LUNCH WITH THE GOVERNOR OF NEW YORK STATE,LUNCH,PRIVATE DINING ROOM
